SMILES	GABAAalpha	NMDA	O00222	O15303	P41594	Q13255	Q14416	Q14643	Q14831	Q14832	Q14833
Brc1cc(-c2nc(-c3ncccc3)no2)ccc1					6.93						
Brc1ccc2c(c1)-c1ncnn1Cc1c(-c3cccs3)ncn-21	8.4										
Brc1ccc2c(c1)-c1nncn1Cc1c(I)ncn-21	8.11										
Brc1cccc(-c2cc(-c3ccccc3)nnc2)c1	8.013333333333334										
Brc1cccc(-c2cnnc(NCc3ccccc3)c2)c1	7.505										
Brc1cccc(-c2cnnc(OCc3ccccc3)c2)c1	6.859999999999999										
Brc1cccc(N2CCc3c(cccc3)C2)n1		4.82									
Brc1cccc(Sc2ccnc(-c3ccccn3)n2)c1					5.542000000000001						
Brc1cccc2c1ccc(C#Cc1ccccn1)n2					6.122999999999999						
Brc1cnc(N2CCc3c(cccc3)C2)cc1		5.12									
C#CC(C)(C)Nc1c2c(ncc1)sc1c2ncn(-c2ccc(C)cc2)c1=O						6.77					
C#CC(C)Nc1c2c(ncc1)sc1c2ncn(-c2ccc(C)cc2)c1=O						6.502000000000001					
C#CC(CC)(CC)Nc1c2c(ncc1)sc1c2ncn(-c2ccc(C)cc2)c1=O						6.45					
C#CCCC(=O)Nc1ccc(CCN(CCC)C2CCc3c(cccc3O)C2)cc1					8.19						
C#CCCOC(=O)c1c(N)c2c(nc1C)sc1c2CCC2(C1)OCCO2	6.5										
C#CCN(C)c1c2c(ncc1)sc1c2ncn(-c2ccc(Br)cc2)c1=O					5.523	8.721					
C#CCN(C)c1c2c(ncc1)sc1c2ncn(-c2ccc(Cl)cc2)c1=O					5.523						
C#CCN(C)c1c2c(ncc1)sc1c2ncn(-c2ccc(OC)cc2)c1=O					5.523	7.97					
C#CCN(C)c1ccnc2c1c1c(s2)c(=O)n(-c2ccc(Cl)cc2)cn1						8.42					
C#CCNC(=O)c1c2Cn3ncnc3-c3c(ccc(F)c3)-n2cn1	7.17										
C#CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(Br)cc2)c1=O					5.523						
C#CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(C)cc2)c1=O					5.523	8.822000000000001					
C#CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(Cl)cc2)c1=O					5.523	9.05					
C#CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(OC)c(F)c2)c1=O					5.523	7.902					
C#CCNc1c2c(ncc1)sc1c2ncn(-c2ccc(OC)cc2)c1=O					5.523	8.425					
C#CCNc1c2c(ncn1)sc1c2ncn(-c2ccc(OC)c(F)c2)c1=O					5.523	6.672000000000001					
C#CCNc1c2c(ncn1)sc1c2ncn(-c2ccc(OC)cc2)c1=O					5.523	7.89					
C#CCNc1c2c(ncn1)sc1c2ncn(-c2ccc(OC)cc2F)c1=O					5.523	7.071000000000001					
C#CCNc1c2c(ncn1)sc1c2ncn(-c2ccc3OCCOc3c2)c1=O					5.523	6.973					
C#CCNc1c2c(ncn1)sc1c2ncn(-c2ccc3OCOc3c2)c1=O					5.523	6.862					
C#CCNc1c2c(ncn1)sc1c2ncn(-c2ccc3ncsc3c2)c1=O					5.523	6.68					
