QSPRID	pchembl_value_Median_class_Label	pchembl_value_Median_class_Prediction	pchembl_value_Median_class_ProbabilityClass_0	pchembl_value_Median_class_ProbabilityClass_1	Fold
A2A_LIGANDS_1	False	0	0.775	0.225	0.0
A2A_LIGANDS_20	False	0	0.93	0.07	0.0
A2A_LIGANDS_24	True	1	0.285	0.715	0.0
A2A_LIGANDS_36	False	0	0.575	0.425	0.0
A2A_LIGANDS_37	True	1	0.29	0.71	0.0
A2A_LIGANDS_42	True	1	0.025	0.975	0.0
A2A_LIGANDS_43	True	1	0.005	0.995	0.0
A2A_LIGANDS_44	False	0	0.965	0.035	0.0
A2A_LIGANDS_47	False	0	0.955	0.045	0.0
A2A_LIGANDS_58	True	1	0.06	0.94	0.0
A2A_LIGANDS_59	False	0	0.86	0.14	0.0
A2A_LIGANDS_62	True	1	0.43	0.57	0.0
A2A_LIGANDS_66	False	0	0.735	0.265	0.0
A2A_LIGANDS_67	False	0	0.89	0.11	0.0
A2A_LIGANDS_71	True	1	0.02	0.98	0.0
A2A_LIGANDS_73	False	0	0.705	0.295	0.0
A2A_LIGANDS_78	False	1	0.285	0.715	0.0
A2A_LIGANDS_83	True	1	0.0	1.0	0.0
A2A_LIGANDS_86	True	1	0.075	0.925	0.0
A2A_LIGANDS_87	True	1	0.005	0.995	0.0
A2A_LIGANDS_90	True	1	0.34	0.66	0.0
A2A_LIGANDS_93	True	1	0.28	0.72	0.0
A2A_LIGANDS_100	False	0	0.775	0.225	0.0
A2A_LIGANDS_110	True	1	0.05	0.95	0.0
A2A_LIGANDS_115	False	0	0.765	0.235	0.0
A2A_LIGANDS_126	True	1	0.005	0.995	0.0
A2A_LIGANDS_134	True	1	0.05	0.95	0.0
A2A_LIGANDS_139	False	0	0.955	0.045	0.0
A2A_LIGANDS_148	True	1	0.115	0.885	0.0
A2A_LIGANDS_153	True	1	0.31	0.69	0.0
A2A_LIGANDS_167	False	0	0.825	0.175	0.0
A2A_LIGANDS_172	True	1	0.445	0.555	0.0
A2A_LIGANDS_174	True	1	0.015	0.985	0.0
A2A_LIGANDS_177	True	1	0.035	0.965	0.0
A2A_LIGANDS_182	True	1	0.11	0.89	0.0
A2A_LIGANDS_187	True	0	0.795	0.205	0.0
A2A_LIGANDS_198	False	1	0.22	0.78	0.0
A2A_LIGANDS_203	True	1	0.275	0.725	0.0
A2A_LIGANDS_207	True	1	0.05	0.95	0.0
A2A_LIGANDS_210	True	1	0.12	0.88	0.0
A2A_LIGANDS_211	True	1	0.03	0.97	0.0
A2A_LIGANDS_212	True	1	0.055	0.945	0.0
A2A_LIGANDS_213	True	1	0.12	0.88	0.0
A2A_LIGANDS_214	False	1	0.395	0.605	0.0
A2A_LIGANDS_216	False	0	0.93	0.07	0.0
A2A_LIGANDS_217	False	0	0.915	0.085	0.0
A2A_LIGANDS_221	True	1	0.305	0.695	0.0
A2A_LIGANDS_223	True	1	0.04	0.96	0.0
A2A_LIGANDS_227	True	1	0.02	0.98	0.0
A2A_LIGANDS_231	True	1	0.175	0.825	0.0
A2A_LIGANDS_233	True	0	0.935	0.065	0.0
