QSPRID	O00222_imputed_Label	O15303_imputed_Label	P41594_imputed_Label	Q13255_imputed_Label	Q14416_imputed_Label	Q14831_imputed_Label	Q14832_imputed_Label	Q14833_imputed_Label	O00222_imputed_Prediction	O15303_imputed_Prediction	P41594_imputed_Prediction	Q13255_imputed_Prediction	Q14416_imputed_Prediction	Q14831_imputed_Prediction	Q14832_imputed_Prediction	Q14833_imputed_Prediction	Fold
tutorial_data_6271	5.071	4.955	6.461	6.286	6.825	3.699	6.044	5.945	5.486	5.412	6.849	5.747	5.61	4.535	6.044	6.467	0.0
tutorial_data_7056	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.0	5.071	5.145	6.461	6.286	6.825	4.752	6.044	6.297	0.0
tutorial_data_5781	5.071	4.955	6.21	5.8	6.825	4.752	6.044	5.834	5.071	4.955	6.406	6.886	6.825	4.752	6.044	5.834	0.0
tutorial_data_2987	5.071	4.955	6.461	5.7	6.825	4.752	6.044	5.834	5.071	4.955	6.461	6.782	6.825	4.752	6.044	5.834	0.0
tutorial_data_3060	5.071	4.955	6.461	6.286	5.66	4.752	6.044	5.834	5.071	4.955	6.461	6.286	5.743	4.752	6.044	5.834	0.0
tutorial_data_7008	5.071	4.955	4.523	6.286	6.825	4.752	6.044	5.834	5.071	4.955	5.15	6.286	6.825	4.752	6.044	5.834	0.0
tutorial_data_4754	5.071	4.955	7.35	5.66	6.825	4.752	6.044	5.834	5.071	4.955	7.344	6.159	6.825	4.752	6.044	5.834	0.0
tutorial_data_492	5.071	4.955	6.461	6.286	7.38	4.752	6.044	5.834	5.071	4.955	6.461	6.286	6.068	4.752	6.044	5.834	0.0
tutorial_data_2832	5.071	4.955	6.461	6.286	6.825	4.752	6.044	5.75	5.071	4.955	6.461	6.286	6.825	4.752	6.044	6.305	0.0
tutorial_data_3945	5.071	4.955	6.461	6.286	7.88	4.752	6.044	5.834	5.071	4.955	6.461	6.286	8.15	4.752	6.044	5.834	0.0
