QSPRID	GABAAalpha_Label	GABAAalpha_Prediction
tutorial_data_7473	8.15	7.077
tutorial_data_2284	6.0	7.263
tutorial_data_3088	7.58	6.202
tutorial_data_1673	8.27	8.116
tutorial_data_7750	6.22	5.968
tutorial_data_5622	8.68	8.5
tutorial_data_5657	7.27	7.804
tutorial_data_3268	7.75	7.43
tutorial_data_2699	4.24	5.767
tutorial_data_2805	6.54	6.731
tutorial_data_5484	9.01	9.829
tutorial_data_3361	7.33	7.481
tutorial_data_5678	8.0	8.301
tutorial_data_2570	8.402	7.964
tutorial_data_0187	4.38	4.309
tutorial_data_3550	9.22	8.416
tutorial_data_0453	8.82	9.645
tutorial_data_6457	4.0	6.05
tutorial_data_4142	5.5	5.131
tutorial_data_4412	6.65	6.556
tutorial_data_4494	3.8	6.08
tutorial_data_3655	7.54	8.311
tutorial_data_8004	7.12	6.602
tutorial_data_3890	6.705	8.115
tutorial_data_1828	4.3	6.136
tutorial_data_0093	5.562	6.625
tutorial_data_3617	9.4	8.247
tutorial_data_4090	8.478	7.96
tutorial_data_2483	7.95	7.933
tutorial_data_8095	7.695	7.514
tutorial_data_7864	6.74	7.087
tutorial_data_1805	7.46	7.765
tutorial_data_2333	7.454	7.592
tutorial_data_8098	7.638	7.587
tutorial_data_1274	8.07	7.646
tutorial_data_7974	7.36	6.475
tutorial_data_0563	6.57	7.552
tutorial_data_1273	6.357	7.676
tutorial_data_1612	6.33	8.117
tutorial_data_6741	8.1	7.455
tutorial_data_1660	5.62	5.966
tutorial_data_5562	8.0	8.041
tutorial_data_0334	5.778	6.494
tutorial_data_2993	9.717	8.708
tutorial_data_1694	7.638	7.113
tutorial_data_0066	5.421	7.666
tutorial_data_6762	6.74	6.414
tutorial_data_4428	6.8	7.246
tutorial_data_5082	5.0	6.983
tutorial_data_4996	4.0	6.086
tutorial_data_1188	5.7	5.54
tutorial_data_1039	8.59	8.288
tutorial_data_4263	6.03	6.343
tutorial_data_2519	6.75	5.824
tutorial_data_7134	8.17	7.546
tutorial_data_0278	7.88	7.2
tutorial_data_7968	7.85	7.32
tutorial_data_2342	7.61	7.52
tutorial_data_3524	5.54	6.061
tutorial_data_7131	6.667	6.599
tutorial_data_3587	7.44	7.922
tutorial_data_0227	6.41	5.664
tutorial_data_1813	7.13	7.651
tutorial_data_3601	8.17	7.503
tutorial_data_0840	6.783	6.167
tutorial_data_1866	6.171	6.514
tutorial_data_3672	9.52	9.057
tutorial_data_0182	5.08	3.916
tutorial_data_5646	8.558	7.718
tutorial_data_3356	6.752	6.568
tutorial_data_1034	6.16	6.429
tutorial_data_3654	9.225	8.209
tutorial_data_6420	5.144	5.944
tutorial_data_0341	8.15	6.419
tutorial_data_2328	7.5	7.576
tutorial_data_7464	6.0	6.688
tutorial_data_6373	5.919	5.784
tutorial_data_1364	5.225	5.164
tutorial_data_4268	6.73	7.2
tutorial_data_3197	6.995	7.129
tutorial_data_1317	5.039	5.567
tutorial_data_1542	7.87	7.416
tutorial_data_5486	10.0	9.525
