QSPRID	pchembl_value_Median_class_Label	pchembl_value_Median_class_Prediction	pchembl_value_Median_class_ProbabilityClass_0	pchembl_value_Median_class_ProbabilityClass_1
A2A_LIGANDS_0001	True	1	0.0	1.0
A2A_LIGANDS_0004	False	0	0.955	0.045
A2A_LIGANDS_0006	True	1	0.335	0.665
A2A_LIGANDS_0007	False	1	0.34	0.66
A2A_LIGANDS_0016	False	0	0.955	0.045
A2A_LIGANDS_0017	False	0	0.91	0.09
A2A_LIGANDS_0024	False	0	0.905	0.095
A2A_LIGANDS_0026	False	0	0.795	0.205
A2A_LIGANDS_0030	False	0	0.595	0.405
A2A_LIGANDS_0034	False	0	0.925	0.075
A2A_LIGANDS_0035	False	0	0.825	0.175
A2A_LIGANDS_0040	True	1	0.405	0.595
A2A_LIGANDS_0046	False	0	0.92	0.08
A2A_LIGANDS_0047	False	0	0.665	0.335
A2A_LIGANDS_0064	True	1	0.045	0.955
A2A_LIGANDS_0083	False	0	0.54	0.46
A2A_LIGANDS_0085	True	0	0.53	0.47
A2A_LIGANDS_0096	True	1	0.165	0.835
A2A_LIGANDS_0097	True	1	0.02	0.98
A2A_LIGANDS_0099	True	1	0.105	0.895
A2A_LIGANDS_0106	True	1	0.38	0.62
A2A_LIGANDS_0110	True	1	0.265	0.735
A2A_LIGANDS_0119	False	0	0.69	0.31
A2A_LIGANDS_0121	True	1	0.075	0.925
A2A_LIGANDS_0130	True	1	0.155	0.845
A2A_LIGANDS_0131	True	1	0.33	0.67
A2A_LIGANDS_0137	False	1	0.41	0.59
A2A_LIGANDS_0138	True	1	0.27	0.73
A2A_LIGANDS_0153	False	1	0.285	0.715
A2A_LIGANDS_0157	False	0	0.915	0.085
A2A_LIGANDS_0160	False	0	0.505	0.495
A2A_LIGANDS_0162	True	1	0.03	0.97
A2A_LIGANDS_0167	True	1	0.05	0.95
A2A_LIGANDS_0184	False	1	0.425	0.575
A2A_LIGANDS_0186	True	1	0.07	0.93
A2A_LIGANDS_0196	True	1	0.13	0.87
A2A_LIGANDS_0200	True	1	0.475	0.525
A2A_LIGANDS_0216	False	0	0.805	0.195
A2A_LIGANDS_0223	True	1	0.26	0.74
A2A_LIGANDS_0235	True	1	0.03	0.97
A2A_LIGANDS_0236	True	0	0.55	0.45
A2A_LIGANDS_0243	False	1	0.152	0.848
A2A_LIGANDS_0250	True	1	0.015	0.985
A2A_LIGANDS_0259	True	1	0.06	0.94
A2A_LIGANDS_0263	True	0	0.565	0.435
A2A_LIGANDS_0268	True	1	0.19	0.81
A2A_LIGANDS_0273	True	1	0.225	0.775
A2A_LIGANDS_0277	True	1	0.07	0.93
A2A_LIGANDS_0279	True	1	0.17	0.83
A2A_LIGANDS_0293	True	1	0.12	0.88
A2A_LIGANDS_0296	True	1	0.26	0.74
A2A_LIGANDS_0301	False	1	0.49	0.51
A2A_LIGANDS_0303	True	1	0.3	0.7
A2A_LIGANDS_0304	True	1	0.06	0.94
A2A_LIGANDS_0306	True	1	0.205	0.795
A2A_LIGANDS_0312	False	0	0.95	0.05
A2A_LIGANDS_0315	False	0	0.86	0.14
A2A_LIGANDS_0316	False	0	0.72	0.28
A2A_LIGANDS_0317	True	1	0.085	0.915
A2A_LIGANDS_0318	True	1	0.11	0.89
A2A_LIGANDS_0320	True	1	0.01	0.99
A2A_LIGANDS_0324	True	1	0.195	0.805
