QSPRID	pchembl_value_Median_class_Label	pchembl_value_Median_class_Prediction	pchembl_value_Median_class_ProbabilityClass_0	pchembl_value_Median_class_ProbabilityClass_1	Fold
QSPRID_0000	True	1	0.355	0.645	0.0
QSPRID_0001	False	1	0.395	0.605	0.0
QSPRID_0002	False	1	0.382	0.618	0.0
QSPRID_0003	False	0	0.592	0.408	0.0
QSPRID_0004	False	1	0.171	0.829	0.0
QSPRID_0004	False	0	0.605	0.395	1.0
QSPRID_0005	True	1	0.355	0.645	0.0
QSPRID_0007	False	1	0.382	0.618	0.0
QSPRID_0007	False	0	0.539	0.461	1.0
QSPRID_0009	False	0	0.947	0.053	0.0
QSPRID_0010	False	1	0.303	0.697	0.0
QSPRID_0010	False	1	0.303	0.697	1.0
QSPRID_0011	True	1	0.224	0.776	0.0
QSPRID_0011	True	1	0.026	0.974	1.0
QSPRID_0013	True	1	0.395	0.605	0.0
QSPRID_0015	False	1	0.289	0.711	0.0
QSPRID_0015	False	1	0.421	0.579	2.0
QSPRID_0015	False	1	0.158	0.842	1.0
QSPRID_0016	False	0	0.618	0.382	0.0
QSPRID_0018	True	0	0.645	0.355	0.0
QSPRID_0019	False	1	0.237	0.763	0.0
QSPRID_0019	False	1	0.461	0.539	1.0
QSPRID_0020	False	1	0.447	0.553	0.0
QSPRID_0021	False	1	0.447	0.553	0.0
QSPRID_0021	False	1	0.487	0.513	1.0
QSPRID_0022	False	0	0.711	0.289	0.0
QSPRID_0024	True	1	0.289	0.711	0.0
QSPRID_0027	True	1	0.487	0.513	0.0
QSPRID_0028	True	1	0.382	0.618	0.0
QSPRID_0028	True	1	0.132	0.868	1.0
QSPRID_0031	True	1	0.053	0.947	1.0
QSPRID_0031	True	1	0.289	0.711	0.0
QSPRID_0034	False	0	0.566	0.434	0.0
QSPRID_0036	False	0	0.684	0.316	1.0
QSPRID_0036	False	0	0.553	0.447	0.0
QSPRID_0037	True	1	0.289	0.711	0.0
QSPRID_0038	True	1	0.066	0.934	0.0
QSPRID_0039	True	0	0.618	0.382	0.0
QSPRID_0040	True	1	0.053	0.947	0.0
QSPRID_0041	False	1	0.355	0.645	1.0
QSPRID_0041	False	0	0.579	0.421	0.0
QSPRID_0042	True	1	0.237	0.763	0.0
QSPRID_0046	False	0	0.513	0.487	0.0
QSPRID_0046	False	1	0.171	0.829	1.0
QSPRID_0047	False	1	0.25	0.75	0.0
QSPRID_0048	True	1	0.0	1.0	0.0
QSPRID_0049	True	1	0.342	0.658	0.0
QSPRID_0050	True	1	0.408	0.592	0.0
QSPRID_0053	False	1	0.184	0.816	1.0
QSPRID_0053	False	1	0.487	0.513	0.0
QSPRID_0054	True	0	0.671	0.329	0.0
QSPRID_0055	True	1	0.342	0.658	0.0
QSPRID_0055	True	1	0.211	0.789	1.0
QSPRID_0057	False	1	0.263	0.737	0.0
QSPRID_0059	False	1	0.421	0.579	0.0
QSPRID_0059	False	1	0.316	0.684	1.0
QSPRID_0060	False	1	0.171	0.829	0.0
QSPRID_0060	False	1	0.066	0.934	1.0
QSPRID_0062	True	1	0.303	0.697	0.0
QSPRID_0062	True	1	0.461	0.539	1.0
QSPRID_0064	True	1	0.132	0.868	1.0
QSPRID_0064	True	1	0.145	0.855	0.0
QSPRID_0065	False	0	0.539	0.461	1.0
QSPRID_0065	False	1	0.342	0.658	0.0
QSPRID_0068	True	1	0.079	0.921	2.0
QSPRID_0068	True	0	0.5	0.5	0.0
QSPRID_0068	True	1	0.487	0.513	1.0
QSPRID_0071	True	1	0.132	0.868	1.0
QSPRID_0071	True	1	0.316	0.684	0.0
QSPRID_0072	False	1	0.382	0.618	0.0
QSPRID_0074	True	0	0.513	0.487	0.0
QSPRID_0075	True	1	0.197	0.803	0.0
QSPRID_0077	False	1	0.395	0.605	0.0
QSPRID_0077	False	1	0.408	0.592	1.0
QSPRID_0078	False	1	0.461	0.539	0.0
QSPRID_0079	True	1	0.368	0.632	0.0
QSPRID_0081	True	1	0.224	0.776	0.0
QSPRID_0082	False	1	0.447	0.553	0.0
QSPRID_0083	True	1	0.316	0.684	0.0
QSPRID_0083	True	1	0.145	0.855	1.0
QSPRID_0084	True	1	0.447	0.553	0.0
QSPRID_0085	False	0	0.671	0.329	0.0
QSPRID_0086	True	1	0.263	0.737	0.0
QSPRID_0087	True	1	0.053	0.947	0.0
QSPRID_0088	True	1	0.0	1.0	0.0
QSPRID_0089	False	1	0.342	0.658	0.0
QSPRID_0090	True	1	0.408	0.592	1.0
QSPRID_0090	True	0	0.605	0.395	0.0
QSPRID_0091	True	0	0.618	0.382	0.0
QSPRID_0092	False	1	0.211	0.789	0.0
QSPRID_0092	False	1	0.434	0.566	1.0
QSPRID_0094	False	0	0.618	0.382	0.0
QSPRID_0095	True	1	0.421	0.579	1.0
QSPRID_0095	True	1	0.355	0.645	0.0
QSPRID_0097	True	1	0.316	0.684	0.0
QSPRID_0098	True	1	0.079	0.921	1.0
QSPRID_0098	True	1	0.013	0.987	0.0
QSPRID_0100	False	0	0.513	0.487	0.0
QSPRID_0100	False	0	0.5	0.5	1.0
QSPRID_0101	False	1	0.25	0.75	1.0
QSPRID_0101	False	1	0.421	0.579	0.0
QSPRID_0103	True	1	0.237	0.763	0.0
QSPRID_0104	False	1	0.316	0.684	1.0
QSPRID_0104	False	0	0.579	0.421	0.0
QSPRID_0105	True	1	0.408	0.592	1.0
QSPRID_0105	True	1	0.184	0.816	0.0
QSPRID_0106	True	0	0.671	0.329	0.0
QSPRID_0107	False	1	0.447	0.553	0.0
QSPRID_0107	False	1	0.342	0.658	1.0
QSPRID_0108	True	1	0.25	0.75	0.0
QSPRID_0110	True	1	0.329	0.671	1.0
QSPRID_0110	True	1	0.329	0.671	0.0
QSPRID_0111	True	1	0.303	0.697	0.0
QSPRID_0112	True	1	0.408	0.592	0.0
QSPRID_0113	True	1	0.158	0.842	1.0
QSPRID_0113	True	1	0.25	0.75	0.0
QSPRID_0114	True	1	0.355	0.645	0.0
QSPRID_0115	False	0	0.671	0.329	0.0
QSPRID_0116	True	1	0.316	0.684	0.0
QSPRID_0117	True	1	0.303	0.697	0.0
QSPRID_0118	False	0	0.711	0.289	0.0
QSPRID_0118	False	0	0.776	0.224	1.0
QSPRID_0119	True	1	0.474	0.526	1.0
QSPRID_0119	True	1	0.316	0.684	0.0
QSPRID_0121	True	1	0.316	0.684	0.0
QSPRID_0122	True	0	0.553	0.447	0.0
QSPRID_0123	True	1	0.408	0.592	1.0
QSPRID_0123	True	1	0.342	0.658	0.0
QSPRID_0125	False	1	0.289	0.711	0.0
QSPRID_0125	False	0	0.632	0.368	1.0
QSPRID_0126	True	1	0.013	0.987	0.0
QSPRID_0127	True	1	0.395	0.605	0.0
QSPRID_0127	True	1	0.487	0.513	1.0
QSPRID_0128	False	1	0.342	0.658	0.0
QSPRID_0129	True	1	0.039	0.961	1.0
QSPRID_0129	True	1	0.303	0.697	0.0
QSPRID_0130	True	0	0.592	0.408	0.0
QSPRID_0131	True	1	0.013	0.987	0.0
QSPRID_0133	True	1	0.382	0.618	0.0
QSPRID_0135	False	1	0.421	0.579	0.0
QSPRID_0135	False	0	0.539	0.461	1.0
QSPRID_0136	False	1	0.487	0.513	1.0
QSPRID_0136	False	1	0.382	0.618	0.0
QSPRID_0137	True	1	0.355	0.645	0.0
QSPRID_0137	True	1	0.447	0.553	1.0
QSPRID_0138	True	1	0.224	0.776	1.0
QSPRID_0138	True	1	0.263	0.737	0.0
QSPRID_0140	True	1	0.355	0.645	0.0
QSPRID_0141	True	1	0.329	0.671	0.0
QSPRID_0141	True	0	0.566	0.434	1.0
QSPRID_0142	False	0	0.697	0.303	0.0
QSPRID_0143	True	1	0.026	0.974	1.0
QSPRID_0143	True	1	0.289	0.711	0.0
QSPRID_0145	False	1	0.355	0.645	0.0
QSPRID_0146	True	1	0.395	0.605	0.0
QSPRID_0147	True	1	0.263	0.737	1.0
QSPRID_0147	True	1	0.171	0.829	0.0
QSPRID_0148	True	1	0.355	0.645	0.0
QSPRID_0150	False	1	0.263	0.737	1.0
QSPRID_0150	False	1	0.342	0.658	0.0
QSPRID_0153	True	1	0.474	0.526	0.0
QSPRID_0154	False	0	0.618	0.382	1.0
QSPRID_0154	False	1	0.395	0.605	0.0
QSPRID_0155	True	1	0.158	0.842	0.0
QSPRID_0159	False	1	0.474	0.526	0.0
QSPRID_0160	True	1	0.447	0.553	0.0
QSPRID_0160	True	0	0.632	0.368	1.0
QSPRID_0161	True	1	0.092	0.908	0.0
QSPRID_0162	False	0	0.539	0.461	1.0
QSPRID_0162	False	1	0.487	0.513	0.0
QSPRID_0163	False	1	0.329	0.671	0.0
QSPRID_0164	False	0	0.684	0.316	0.0
