QSPRID	pchembl_value_Median_class_Label	pchembl_value_Median_class_Prediction	pchembl_value_Median_class_ProbabilityClass_0	pchembl_value_Median_class_ProbabilityClass_1
A2A_LIGANDS_0599	False	0	0.99	0.01
A2A_LIGANDS_0752	True	0	0.8	0.2
A2A_LIGANDS_1954	True	1	0.05	0.95
A2A_LIGANDS_2928	True	1	0.03	0.97
A2A_LIGANDS_2512	True	1	0.12	0.88
A2A_LIGANDS_2289	True	1	0.27	0.73
A2A_LIGANDS_0682	True	1	0.05	0.95
A2A_LIGANDS_0325	False	1	0.44	0.56
A2A_LIGANDS_0166	True	1	0.01	0.99
A2A_LIGANDS_3389	True	1	0.02	0.98
A2A_LIGANDS_3572	True	1	0.02	0.98
A2A_LIGANDS_2606	True	1	0.0	1.0
A2A_LIGANDS_0109	True	1	0.14	0.86
A2A_LIGANDS_1006	False	1	0.22	0.78
A2A_LIGANDS_1061	False	0	0.89	0.11
A2A_LIGANDS_0149	True	1	0.22	0.78
A2A_LIGANDS_1569	False	0	0.74	0.26
A2A_LIGANDS_0298	True	0	0.62	0.38
A2A_LIGANDS_3706	True	1	0.0	1.0
A2A_LIGANDS_4073	True	1	0.0	1.0
A2A_LIGANDS_1034	True	1	0.1	0.9
A2A_LIGANDS_1962	False	0	0.88	0.12
A2A_LIGANDS_0179	False	0	0.96	0.04
A2A_LIGANDS_0033	False	0	0.99	0.01
A2A_LIGANDS_4015	True	0	0.77	0.23
A2A_LIGANDS_2817	False	0	0.79	0.21
A2A_LIGANDS_2389	False	0	1.0	0.0
A2A_LIGANDS_2174	True	1	0.27	0.73
A2A_LIGANDS_2965	True	1	0.05	0.95
A2A_LIGANDS_1192	True	1	0.25	0.75
A2A_LIGANDS_0555	True	1	0.04	0.96
A2A_LIGANDS_1960	True	1	0.17	0.83
A2A_LIGANDS_1064	False	0	0.67	0.33
A2A_LIGANDS_3727	False	0	0.98	0.02
A2A_LIGANDS_3483	True	0	0.52	0.48
A2A_LIGANDS_3825	True	1	0.03	0.97
A2A_LIGANDS_0229	True	1	0.01	0.99
A2A_LIGANDS_3768	True	1	0.18	0.82
A2A_LIGANDS_1163	True	1	0.48	0.52
A2A_LIGANDS_2828	True	1	0.46	0.54
A2A_LIGANDS_2005	True	1	0.07	0.93
A2A_LIGANDS_2380	False	0	0.89	0.11
A2A_LIGANDS_3237	False	1	0.01	0.99
A2A_LIGANDS_2631	True	1	0.02	0.98
A2A_LIGANDS_3293	False	0	0.72	0.28
A2A_LIGANDS_0096	True	1	0.1	0.9
A2A_LIGANDS_0501	True	1	0.01	0.99
A2A_LIGANDS_1185	False	0	0.55	0.45
A2A_LIGANDS_3522	True	1	0.02	0.98
A2A_LIGANDS_1593	True	1	0.0	1.0
A2A_LIGANDS_3575	False	0	0.7	0.3
A2A_LIGANDS_0881	False	1	0.44	0.56
A2A_LIGANDS_0132	True	1	0.0	1.0
A2A_LIGANDS_2252	False	1	0.12	0.88
A2A_LIGANDS_0527	True	1	0.1	0.9
A2A_LIGANDS_2022	True	0	0.88	0.12
A2A_LIGANDS_2531	False	0	0.99	0.01
A2A_LIGANDS_3802	True	1	0.0	1.0
A2A_LIGANDS_2478	True	1	0.47	0.53
A2A_LIGANDS_0305	True	1	0.18	0.82
A2A_LIGANDS_1398	False	1	0.04	0.96
A2A_LIGANDS_1769	False	1	0.42	0.58
A2A_LIGANDS_0308	True	1	0.15	0.85
A2A_LIGANDS_2113	False	1	0.27	0.73
A2A_LIGANDS_2672	False	0	0.75	0.25
A2A_LIGANDS_4012	True	1	0.0	1.0
A2A_LIGANDS_3704	False	1	0.29	0.71
A2A_LIGANDS_0802	False	1	0.19	0.81
A2A_LIGANDS_2721	True	1	0.0	1.0
A2A_LIGANDS_3276	False	1	0.08	0.92
A2A_LIGANDS_2341	True	1	0.33	0.67
A2A_LIGANDS_1882	False	0	0.67	0.33
A2A_LIGANDS_0196	False	1	0.04	0.96
A2A_LIGANDS_0366	True	1	0.16	0.84
A2A_LIGANDS_3838	True	1	0.03	0.97
A2A_LIGANDS_4035	False	0	0.55	0.45
A2A_LIGANDS_2528	True	1	0.04	0.96
A2A_LIGANDS_1204	True	1	0.16	0.84
A2A_LIGANDS_1783	True	1	0.02	0.98
A2A_LIGANDS_1110	False	0	0.94	0.06
A2A_LIGANDS_2232	False	0	0.91	0.09
A2A_LIGANDS_1220	True	1	0.03	0.97
A2A_LIGANDS_0314	False	0	0.96	0.04
A2A_LIGANDS_2629	False	1	0.21	0.79
A2A_LIGANDS_0184	False	0	0.57	0.43
A2A_LIGANDS_1641	False	0	0.91	0.09
A2A_LIGANDS_1618	False	1	0.4	0.6
A2A_LIGANDS_0461	False	0	0.8	0.2
A2A_LIGANDS_2430	False	0	0.81	0.19
A2A_LIGANDS_2948	True	1	0.05	0.95
