QSPRID	pchembl_value_Mean_Label	pchembl_value_Mean_Prediction	Fold
A2A_LIGANDS_221	7.2	7.774	0.0
A2A_LIGANDS_3260	6.02	5.858	0.0
A2A_LIGANDS_3675	8.32	7.764	0.0
A2A_LIGANDS_3484	6.77	7.824	0.0
A2A_LIGANDS_712	6.76	6.31	0.0
A2A_LIGANDS_2321	5.78	6.332	0.0
A2A_LIGANDS_621	7.485	7.908	0.0
A2A_LIGANDS_506	4.77	5.72	0.0
A2A_LIGANDS_1340	7.13	7.8	0.0
A2A_LIGANDS_500	7.37	7.686	0.0
A2A_LIGANDS_1871	8.46	7.024	0.0
A2A_LIGANDS_736	7.1	7.112	0.0
A2A_LIGANDS_3830	5.43	6.638	0.0
A2A_LIGANDS_2042	6.63	6.852	0.0
A2A_LIGANDS_1188	7.7	7.629	0.0
A2A_LIGANDS_2381	7.85	7.752	0.0
A2A_LIGANDS_2580	7.11	6.692	0.0
A2A_LIGANDS_2402	4.85	4.746	0.0
A2A_LIGANDS_1929	6.15	6.382	0.0
A2A_LIGANDS_2615	6.8	6.808	0.0
A2A_LIGANDS_1025	6.06	6.851	0.0
A2A_LIGANDS_2447	5.6	5.932	0.0
A2A_LIGANDS_3588	7.03	6.384	0.0
A2A_LIGANDS_3476	7.12	7.354	0.0
A2A_LIGANDS_923	7.21	7.006	0.0
A2A_LIGANDS_1651	5.23	5.912	0.0
A2A_LIGANDS_532	7.88	7.112	0.0
A2A_LIGANDS_1022	5.78	6.41	0.0
A2A_LIGANDS_2464	7.66	6.852	0.0
A2A_LIGANDS_2545	6.76	7.49	0.0
A2A_LIGANDS_1096	8.26	7.678	0.0
A2A_LIGANDS_2244	4.48	6.088	0.0
A2A_LIGANDS_258	7.23	6.95	0.0
A2A_LIGANDS_847	8.24	7.636	0.0
A2A_LIGANDS_3969	8.28	7.944	0.0
A2A_LIGANDS_3467	7.11	7.11	0.0
A2A_LIGANDS_2240	6.31	7.542	0.0
A2A_LIGANDS_1011	6.33	6.326	0.0
A2A_LIGANDS_65	5.64	5.396	0.0
A2A_LIGANDS_3839	6.977	6.957	0.0
A2A_LIGANDS_2194	9.11	8.675	0.0
A2A_LIGANDS_382	7.72	8.0	0.0
A2A_LIGANDS_3061	6.29	6.092	0.0
A2A_LIGANDS_3185	7.593	7.729	0.0
A2A_LIGANDS_2547	7.72	6.854	0.0
A2A_LIGANDS_965	5.91	5.896	0.0
A2A_LIGANDS_2413	5.66	6.491	0.0
A2A_LIGANDS_3241	7.61	7.14	0.0
A2A_LIGANDS_1983	6.55	6.55	0.0
A2A_LIGANDS_2339	6.39	6.708	0.0
A2A_LIGANDS_3427	7.6	8.09	0.0
A2A_LIGANDS_3007	7.56	7.18	0.0
A2A_LIGANDS_840	6.42	7.466	0.0
A2A_LIGANDS_581	7.11	8.42	0.0
A2A_LIGANDS_631	6.48	6.872	0.0
A2A_LIGANDS_2716	7.6	6.492	0.0
A2A_LIGANDS_925	6.84	6.944	0.0
A2A_LIGANDS_2329	8.32	8.1	0.0
A2A_LIGANDS_3636	6.8	7.222	0.0
A2A_LIGANDS_3200	6.57	6.734	0.0
A2A_LIGANDS_997	7.58	7.636	0.0
A2A_LIGANDS_1288	6.51	7.296	0.0
A2A_LIGANDS_3291	7.27	7.885	0.0
A2A_LIGANDS_1972	7.245	7.212	0.0
A2A_LIGANDS_1738	6.7	6.986	0.0
A2A_LIGANDS_1258	8.89	8.87	0.0
A2A_LIGANDS_3726	7.02	7.452	0.0
A2A_LIGANDS_1313	5.56	5.558	0.0
A2A_LIGANDS_931	6.39	6.886	0.0
A2A_LIGANDS_230	6.75	6.262	0.0
A2A_LIGANDS_1924	8.225	8.448	0.0
A2A_LIGANDS_2266	7.96	7.888	0.0
A2A_LIGANDS_3854	7.02	6.161	0.0
A2A_LIGANDS_87	8.68	8.87	0.0
A2A_LIGANDS_282	5.39	5.534	0.0
A2A_LIGANDS_3085	7.8	6.35	0.0
A2A_LIGANDS_942	4.91	5.52	0.0
A2A_LIGANDS_272	7.8	7.688	0.0
A2A_LIGANDS_2768	6.28	6.466	0.0
A2A_LIGANDS_2319	5.48	5.712	0.0
A2A_LIGANDS_3172	6.93	7.338	0.0
A2A_LIGANDS_1506	5.44	6.27	0.0
A2A_LIGANDS_328	5.96	5.608	0.0
A2A_LIGANDS_772	5.95	7.022	0.0
A2A_LIGANDS_1425	7.85	7.692	0.0
A2A_LIGANDS_2285	8.17	8.006	0.0
A2A_LIGANDS_3744	6.61	6.716	0.0
A2A_LIGANDS_1033	6.5	6.746	0.0
A2A_LIGANDS_2458	6.35	6.53	0.0
A2A_LIGANDS_1966	8.17	7.208	0.0
A2A_LIGANDS_1732	6.92	6.506	0.0
A2A_LIGANDS_1537	6.61	6.614	0.0
A2A_LIGANDS_2691	6.92	5.648	0.0
A2A_LIGANDS_2439	6.35	6.312	0.0
A2A_LIGANDS_1403	6.45	7.362	0.0
A2A_LIGANDS_1382	9.15	8.832	0.0
A2A_LIGANDS_100	5.01	4.948	0.0
