SMILES	pchembl_value_Mean	Year
Cc1nn(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)c(C)c1	8.68	2008.0
Nc1c(C(=O)Nc2ccc([N+](=O)[O-])cc2)sc2c1cc1CCCCc1n2	4.82	2010.0
O=C(Nc1nc2ncccc2n2c(=O)n(-c3ccccc3)nc12)c1ccccc1	5.65	2009.0
CNC(=O)C12CC1C(n1cnc3c1nc(C#CCCCCC(=O)OC)nc3NCc1cc(Cl)ccc1)C(O)C2O	5.45	2009.0
CCCn1c(=O)c2c(nc3cc(OC)ccn32)n(CCCNC(=O)c2ccc(S(C)(=O)=O)cc2)c1=O	5.2	2019.0
Cn1c(-n2nccn2)nc2c1nc(CCc1ccccc1)nc2N	8.33	2005.0
Nc1nc(-c2ccccc2)cn2cc(-c3ccco3)nc12	6.28	2017.0
CCCn1c(=O)c2c(nc3N(c4ccc(OCCN5CCCC5)cc4)CCCn32)n(CCC)c1=O	5.62	2016.0
N#Cc1c(N)nc(-c2ccco2)cc1-c1ccccc1	7.96	2008.0
CCCn1c(=O)c2c([nH]c(-c3ccccc3)n2)n(CCCOC)c1=O	6.47	2009.0
COc1c(C#N)c(-c2cc3c(cc2)OCO3)c(C#N)c(N)n1	4.51	2012.0
Nc1nc2nc(-c3ccco3)nn2c(N)n1	6.8	2011.0
CCNC(=O)C1OC(n2cnc3c(NCC)nc(C#CCCCc4ccccc4)nc32)C(O)C1O	6.49	2006.0
Cc1nn(-c2nc(-c3ccc(C)o3)nc(NC(=O)CN3CCOCC3)c2)c(C)c1	8.24	2008.0
COc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cn1	8.35	2017.0
CCOC(=O)C(Cc1cc2c(cccc2)[nH]1)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12	6.05	2021.0
CNC(=O)C12CC1C(n1cnc3c1nc(Cl)nc3NCc1c(OC)ccc(OC)c1)C(O)C2O	5.0	2008.0
Cn1c(=O)c2c([nH]c(-c3ccc(OCCCN4CCN(Cc5ccccc5Cl)CC4)cc3)n2)n(C)c1=O	9.92	2014.0
O=C(Nc1nc(-c2ccccc2)nc2nn(Cc3ccccc3)cc12)c1ccccc1	6.74	2010.0
Cn1c(=O)c2c(cc(C=Cc3cccc(N)n3)n2C)n(C)c1=O	6.05	2013.0
COCCn1c(=O)c2c(nc(Cc3c(F)cccc3F)n2C)n(Cc2ccco2)c1=O	6.31	2009.0
CCOC(=O)c1ccc(C(=O)Nc2ccc(-c3cn4c(=O)n(-c5ccccc5)nc4c(N)n3)cc2)cc1	5.87	2020.0
CNC(=O)OCC1OC(n2cnc3c2nc(Cl)nc3NCc2cc(I)ccc2)C(O)C1O	5.68	2010.0
CNC(=O)C12CC1C(n1cnc3c1nc(Cl)nc3NCc1ccccc1C)C(O)C2O	5.42	2005.0
CC(O)CNc1nc2c(cccc2)n2nc(-c3ccco3)nc12	7.32	2008.0
CN(C)c1ccc(Nc2nc(NC3CCCCC3)c3[nH]cnc3n2)cc1	5.21	2005.0
Cc1ccc(-c2cc(-c3ccccc3)nc(N)c2C#N)cc1	6.93	2006.0
CCN1CCN(CC(=O)Nc2nc(-c3ccc(C)o3)nc(-n3nc(C)cc3C)c2)CC1	7.96	2008.0
CCN(C(C)=O)c1c2sc(NC(=O)C3CCC(NS(=O)(=O)c4cccc(C(F)(F)F)c4)CC3)nc2c(OC)cc1	6.83	2011.0
Cn1cc2c(n1)nc(NCC1CCC(CNC(=O)OC(C)(C)C)CC1)n1nc(-c3ccco3)nc21	5.66	2019.0
CN(C)c1ccc(C=NNc2nc(N)c3ncn(C4OC(CO)C(O)C4O)c3n2)cc1	8.19	2019.0
CC(C)(C)OC(=O)NCCOCCOCCNc1nc2nc(-c3ccco3)nn2c(N)n1	7.75	2011.0
